State,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Supply Volume (MT),Demand Volume (MT),Market Insights,Sowing Area (Hectares),Production Estimate (MT),Stock Level (MT),Stock Released (MT),Inflation Rate (%),Input Type,Input Cost (INR),Seasonality Impact,Intervention Type,Impact on Price (INR/kg),ARIMA_p,ARIMA_d,ARIMA_q,Forecasted Price (INR/kg)
Rajasthan,Jalore,Jalore,Coriander(Leaves),Other,FAQ,2500,3000,2800,638,386,Low supply affecting prices,1705,4529,4261,640,3.345160583,Seed,713,High,No Intervention,-7.558098889,1,1,2,2798.022577
Rajasthan,Jalore,Jalore,Cucumbar(Kheera),Other,FAQ,1800,2200,2000,734,606,Stable demand,3669,2918,6934,1124,7.184022459,Labor,576,High,Stock Release,-2.813787819,2,1,1,2002.311014
Rajasthan,Jalore,Jalore,Ginger(Green),Other,FAQ,5500,6000,5800,547,637,Stable demand,3972,1576,4923,1415,5.3971538,Seed,292,High,Stock Release,-0.2117467162,3,1,2,5795.998541
Rajasthan,Jalore,Jalore,Green Chilli,Other,FAQ,1300,1500,1400,408,453,Government intervention expected,3113,2665,5821,852,7.946303499,Labor,406,Low,Price Cap,-0.7678128997,2,0,2,1396.654422
Rajasthan,Jalore,Jalore,Lemon,Other,FAQ,3500,4000,3800,687,527,Government intervention expected,3977,1688,6202,1528,6.58721204,Seed,641,High,Price Cap,-4.859025372,2,1,2,3799.122958
Rajasthan,Jalore,Jalore,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2500,3000,2800,787,563,Government intervention expected,1253,1789,5604,881,7.962844521,Labor,906,High,Stock Release,2.439592509,1,0,1,2798.027279
Rajasthan,Jalore,Jalore,Onion,Other,FAQ,1200,1500,1400,449,522,Government intervention expected,1282,1991,4107,1857,5.26737624,Labor,858,Medium,Price Cap,-3.234527386,1,0,2,1404.033711
Rajasthan,Jalore,Jalore,Potato,Other,FAQ,1000,1200,1100,737,420,Low supply affecting prices,4131,4996,7494,974,3.703907036,Seed,320,Low,Stock Release,-2.678340238,2,1,1,1097.004434
Rajasthan,Jalore,Jalore,Tinda,Other,FAQ,1200,1500,1300,404,472,Government intervention expected,3165,3210,6082,1427,6.636546885,Seed,271,Medium,No Intervention,-7.889398744,1,1,1,1297.488431
Rajasthan,Jalore,Jalore,Tomato,Other,FAQ,4500,5000,4800,742,303,High demand due to festival,1422,1976,7942,529,6.888801412,Fertilizer,259,Low,Stock Release,1.844626702,2,1,2,4796.780848
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Bajra(Pearl Millet/Cumbu),Other,FAQ,2300,2600,2450,525,641,Stable demand,3603,2355,7115,1870,7.264176339,Labor,271,High,Stock Release,3.105607505,3,1,2,2453.583502
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Castor Seed,Other,FAQ,4500,4550,4525,474,427,Government intervention expected,3021,2687,4654,1421,4.507245128,Seed,162,Low,Price Cap,5.159004409,2,0,2,4522.02059
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Corriander seed,Other,FAQ,5200,5805,5500,564,409,High demand due to festival,4793,1349,6770,1093,5.553419921,Fertilizer,672,Medium,Price Cap,8.080184263,2,0,1,5498.520781
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Cummin Seed(Jeera),Other,FAQ,47500,58010,52750,677,654,Government intervention expected,1035,2771,6013,992,7.287527867,Seed,164,High,Price Cap,5.320089113,3,0,1,52751.69311
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Dry Chillies,Other,FAQ,18000,28000,23000,723,336,High demand due to festival,1530,3717,4997,994,7.323681183,Labor,268,Medium,No Intervention,-5.285126677,1,0,2,22995.77632
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Garlic,Average,FAQ,3000,8000,5500,699,370,Low supply affecting prices,1090,4539,6463,887,3.128419215,Seed,180,Medium,Price Cap,-5.286896811,2,0,2,5503.166491
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Guar Seed(Cluster Beans Seed),Other,FAQ,5000,5205,5100,689,588,Stable demand,4372,1425,7047,1372,6.35458392,Seed,858,Low,No Intervention,8.301743911,1,1,2,5102.062507
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Isabgul (Psyllium),Other,FAQ,20351,24621,22490,476,330,Stable demand,4795,1326,4284,1334,6.008436748,Fertilizer,367,High,Price Cap,5.802671388,3,0,1,22487.61038
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Methi Seeds,Other,FAQ,5200,6550,6380,697,680,Low supply affecting prices,2940,2129,5470,1776,3.416688887,Seed,479,Medium,Price Cap,5.644928606,2,1,2,6378.917946
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Mustard,Other,FAQ,4400,4700,4550,536,567,High demand due to festival,2942,4889,6565,1129,7.650680398,Fertilizer,869,Medium,Stock Release,4.394273202,2,0,2,4551.200703
Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),Soanf,Other,FAQ,19000,24100,21550,505,310,Government intervention expected,4805,1254,7801,1438,5.226861469,Labor,172,Low,Stock Release,-4.655960175,2,0,1,21554.46457
Rajasthan,Sikar,Sikar,Barley (Jau),Other,FAQ,1400,1700,1600,494,643,High demand due to festival,2240,3037,4026,529,6.371288551,Labor,431,Medium,Stock Release,6.948206848,2,0,2,1601.292605
Rajasthan,Sikar,Sikar,Cucumbar(Kheera),Cucumbar,FAQ,1500,3000,2000,534,627,Stable demand,2758,3405,6274,1122,7.413988978,Seed,287,High,No Intervention,-7.142306438,1,1,1,1997.530397
Rajasthan,Sikar,Sikar,Mustard,Other,FAQ,4575,4575,4575,467,331,Low supply affecting prices,4994,2990,7867,1306,3.650605354,Fertilizer,124,High,Price Cap,-2.999647814,1,0,2,4574.824968
Rajasthan,Sikar,Sikar,Onion,1st Sort,FAQ,420,1700,750,546,356,Low supply affecting prices,1097,1443,7972,841,7.279215718,Labor,327,Low,Stock Release,-3.070509201,3,0,1,749.4961475
Rajasthan,Sikar,Sikar,Potato,(Red Nanital),FAQ,900,1000,1000,558,465,High demand due to festival,2479,1112,7496,1810,6.621528149,Seed,217,Medium,Price Cap,1.202642834,1,0,1,1000.326074
Rajasthan,Sikar,Sikar,Tomato,Deshi,FAQ,3000,8000,5000,783,487,High demand due to festival,1530,2053,5591,1920,7.19796161,Seed,544,Low,Stock Release,-0.7311288801,2,0,1,5000.190489
Rajasthan,Sikar,Surajgarh,Mustard,Other,FAQ,4500,4500,4500,562,641,Low supply affecting prices,2832,3571,5391,1500,5.474178526,Seed,207,Low,Price Cap,-0.803837338,3,0,2,4498.640524
Rajasthan,Tonk,Malpura,Bajra(Pearl Millet/Cumbu),Other,FAQ,1935,1960,1950,740,318,Stable demand,3585,1688,7381,743,3.167424268,Seed,341,Medium,Stock Release,1.071448626,2,0,2,1953.718265
Rajasthan,Tonk,Malpura,Barley (Jau),Other,FAQ,1480,1585,1560,588,415,Government intervention expected,2051,1990,4847,720,6.352579219,Seed,710,High,Stock Release,-1.691630902,2,0,2,1558.301112
Rajasthan,Tonk,Malpura,Bengal Gram(Gram)(Whole),Other,FAQ,4475,4625,4590,738,483,Government intervention expected,4647,2873,5128,1679,4.872662142,Fertilizer,633,Low,Stock Release,-5.000335374,3,0,1,4590.299523
Rajasthan,Tonk,Malpura,Green Gram (Moong)(Whole),Other,FAQ,5000,6450,6100,494,569,High demand due to festival,2347,1045,4017,1906,5.012079172,Seed,580,High,Stock Release,3.282414355,2,0,1,6097.608631
Rajasthan,Tonk,Malpura,Guar Seed(Cluster Beans Seed),Other,FAQ,4750,5160,5075,580,332,Low supply affecting prices,4294,2194,7276,1843,5.206311008,Seed,602,High,Stock Release,5.812667577,2,0,2,5074.348017
Rajasthan,Tonk,Malpura,Jowar(Sorghum),Other,FAQ,4100,4700,4450,687,309,Low supply affecting prices,1079,4201,6090,872,5.464548179,Seed,597,Medium,Price Cap,-0.4200824231,3,1,1,4451.813909
Rajasthan,Tonk,Malpura,Mustard,Other,FAQ,4800,5370,5050,721,379,Low supply affecting prices,3610,1756,6136,1030,6.309671163,Seed,155,Medium,Stock Release,2.989663734,1,0,2,5052.578561
Rajasthan,Tonk,Malpura,Wheat,Other,FAQ,2119,2130,2125,586,491,Stable demand,2481,2376,6633,714,6.633878381,Seed,248,High,Price Cap,0.7072656365,3,0,1,2128.062222
Rajasthan,Udaipur,Udaipur,Bajra(Pearl Millet/Cumbu),Bold,FAQ,2350,2550,2450,771,619,High demand due to festival,1613,2226,4156,866,6.884211432,Seed,410,High,Stock Release,-8.820071229,3,1,1,2452.368246
Rajasthan,Udaipur,Udaipur,Bengal Gram(Gram)(Whole),Other,FAQ,4200,4600,4400,537,489,High demand due to festival,3223,2249,5289,613,6.358030956,Seed,651,High,Price Cap,-1.538306769,3,0,2,4399.667553
Rajasthan,Udaipur,Udaipur,Gur(Jaggery),Other,FAQ,2850,3050,2950,529,367,High demand due to festival,3569,4151,6181,1723,7.0173971,Labor,761,Low,Stock Release,-9.80295001,1,0,1,2945.374684
Rajasthan,Udaipur,Udaipur,Maize,White (SAFED),FAQ,2200,2400,2300,593,647,Stable demand,2772,4381,6511,524,3.610746039,Labor,220,High,Stock Release,3.237585563,3,1,1,2300.244921
Rajasthan,Udaipur,Udaipur,Maize,Yellow,FAQ,1850,2050,1950,715,424,High demand due to festival,2480,4106,5624,1433,7.184088331,Seed,871,Low,Stock Release,0.1632293977,1,1,1,1945.551507
Rajasthan,Udaipur,Udaipur,Soyabean,Other,FAQ,4400,4800,4600,672,635,Government intervention expected,1422,1563,5771,1644,4.936395436,Fertilizer,125,Medium,No Intervention,-7.463369296,2,1,2,4604.664499
Rajasthan,Udaipur,Udaipur,Sugar,Other,FAQ,3850,4050,3950,751,358,High demand due to festival,2123,3208,5155,1110,5.643883379,Seed,211,Medium,Price Cap,0.8438306416,3,1,1,3948.779565
Rajasthan,Udaipur,Udaipur,Wheat,Farmi,FAQ,2300,2500,2400,543,396,High demand due to festival,3034,4667,6788,1357,5.168897002,Fertilizer,610,High,Price Cap,7.968520061,2,1,2,2400.036713
Rajasthan,Udaipur,Udaipur,Wheat,Kalyan,FAQ,1950,2150,2050,415,574,High demand due to festival,4961,3887,5057,1526,5.378586022,Fertilizer,980,Medium,Stock Release,-3.190184704,2,0,2,2046.29547
Tamil Nadu,Ariyalur,Andimadom,Copra,Ball,FAQ,4800,5083,4950,701,448,Stable demand,4811,4506,6130,1397,4.427138426,Fertilizer,122,High,Stock Release,9.647375325,1,0,1,4954.957229
Tamil Nadu,Ariyalur,Andimadom,Gingelly Oil,Gingelly Oil,FAQ,12999,13900,13499,644,577,Government intervention expected,4474,3585,6976,1272,3.849754554,Fertilizer,780,Low,Stock Release,9.187598135,2,0,2,13498.92202
Tamil Nadu,Ariyalur,Andimadom,Groundnut,Other,FAQ,9511,10364,10153,506,564,Government intervention expected,3623,3272,5155,944,3.524473665,Fertilizer,925,High,No Intervention,5.706196849,2,0,2,10150.9829
Tamil Nadu,Coimbatore,Coimbatore,Turmeric,Finger,FAQ,5910,8339,6720,487,308,Low supply affecting prices,2403,4517,7499,1777,5.256994195,Labor,363,Medium,Stock Release,6.275999556,3,0,2,6716.930487
Tamil Nadu,Coimbatore,Karamadai,Coconut,Other,FAQ,2000,2500,2300,528,582,Low supply affecting prices,3578,2340,6913,519,3.626304983,Seed,215,High,Stock Release,-1.789092796,2,1,1,2301.499307
Tamil Nadu,Coimbatore,Madathukulam,Coconut,Coconut,FAQ,2000,2100,2050,794,572,Government intervention expected,1331,4737,4203,1727,4.224942363,Labor,579,Medium,Price Cap,-1.949178094,3,0,2,2049.362992
Tamil Nadu,Coimbatore,Madathukulam,Paddy(Dhan)(Common),Other,FAQ,2040,2060,2050,774,600,High demand due to festival,4389,4876,5822,1305,3.668079428,Labor,406,Low,No Intervention,9.087947165,2,0,1,2048.1733
Tamil Nadu,Coimbatore,Negamam,Coconut,Other,FAQ,1400,2000,1800,740,307,High demand due to festival,1652,2437,5359,1880,3.545606158,Seed,330,Medium,Price Cap,-2.676075009,1,1,2,1795.096426
Tamil Nadu,Coimbatore,Thiruppur,Coconut,Coconut,FAQ,2100,2800,2400,403,507,High demand due to festival,4608,1094,4961,627,7.412305739,Labor,800,Medium,No Intervention,-8.062542219,2,0,1,2395.36397
Tamil Nadu,Coimbatore,Udumalpet,Coconut,Other,FAQ,2000,2050,2020,726,424,Stable demand,1739,4296,6544,857,6.370129765,Seed,591,Medium,No Intervention,-6.945978236,1,1,1,2021.936131
Tamil Nadu,Coimbatore,Udumalpet,Copra,other,FAQ,6580,7800,7020,766,422,High demand due to festival,2112,2802,4441,1815,7.618795559,Seed,868,Medium,Price Cap,4.207979304,3,0,2,7019.805405
Tamil Nadu,Coimbatore,Udumalpet,Maize,Hybrid Red (Cattle Feed),FAQ,2100,2130,2110,705,332,Stable demand,2627,1948,6875,1697,6.220060791,Seed,219,Medium,Price Cap,-2.340381298,3,0,2,2113.488904
Tamil Nadu,Cuddalore,Panruti,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,5759,8319,7519,795,300,Government intervention expected,1510,1552,7329,1878,7.21975512,Seed,385,Medium,No Intervention,-6.013143206,2,1,2,7521.535285
Tamil Nadu,Cuddalore,Panruti,Cotton,Other,FAQ,3088,6188,5869,494,503,High demand due to festival,1041,3692,5315,1380,5.776492946,Fertilizer,884,High,No Intervention,6.275722574,2,1,2,5869.734405
Tamil Nadu,Cuddalore,Panruti,Ragi (Finger Millet),Other,FAQ,2709,2959,2856,608,305,High demand due to festival,1884,1065,5148,1560,5.313150253,Fertilizer,506,Low,Stock Release,-0.2265301865,3,1,2,2856.609909
Tamil Nadu,Cuddalore,Panruti,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,12345,15125,14860,624,596,Low supply affecting prices,4878,4468,5686,1833,5.642387005,Labor,457,High,Stock Release,1.352824095,3,0,1,14862.45345
Tamil Nadu,Dindigul,Gopalpatti,Coconut,Other,FAQ,1800,2000,1950,747,304,Government intervention expected,2949,4281,4870,1416,4.601127472,Seed,989,Low,Price Cap,-6.921012907,3,0,2,1952.411623
Tamil Nadu,Dindigul,Oddunchairum,Bottle gourd,Bottle Gourd,FAQ,360,500,440,720,379,High demand due to festival,4460,2497,7830,1607,6.289861955,Seed,251,High,No Intervention,-6.144915972,1,1,1,438.3451747
Tamil Nadu,Dindigul,Palani,Copra,Copra,FAQ,5300,7700,7650,446,573,Stable demand,3128,1664,5198,1009,7.485874508,Seed,697,Low,Price Cap,-7.482879261,2,1,2,7646.053195
Tamil Nadu,Dindigul,Vadamadurai,Coconut,Medium,FAQ,1900,2100,2000,580,476,Government intervention expected,1401,3731,5907,943,6.911767232,Seed,424,Low,Stock Release,0.2908559847,3,1,2,2002.718282
Tamil Nadu,Erode,Alangeyam,Maize,Other,FAQ,2202,2209,2205,505,637,Low supply affecting prices,3154,3957,5515,1943,5.310000054,Fertilizer,956,High,Stock Release,5.513140235,3,0,1,2202.231059
Tamil Nadu,Erode,Anthiyur,Groundnut,Other,FAQ,7630,7819,7750,598,620,Government intervention expected,2134,3884,6916,1728,7.769595429,Fertilizer,938,High,Stock Release,4.645704878,2,0,1,7752.912651
Tamil Nadu,Erode,Muthur,Copra,Copra,FAQ,5680,7185,7085,785,638,Stable demand,4348,3618,7885,1278,7.927115471,Fertilizer,345,Low,No Intervention,-4.77538359,2,1,1,7086.180917
Tamil Nadu,Erode,Vellakkoil,Copra,Copra,FAQ,5545,7316,7116,505,435,Low supply affecting prices,2237,3743,4079,1611,5.465503049,Labor,925,Medium,Price Cap,7.031003758,1,0,1,7114.579601
Tamil Nadu,Madurai,Madurai,Paddy(Dhan)(Common),ADT 43,FAQ,1863,1923,1893,679,686,Stable demand,2766,4561,7690,751,7.323199207,Seed,414,Low,No Intervention,-7.886783037,3,0,2,1896.522739
Tamil Nadu,Madurai,Madurai,Paddy(Dhan)(Common),AST 16,FAQ,2016,2076,2046,659,324,Government intervention expected,2841,1179,6859,1554,3.023851281,Fertilizer,904,Medium,No Intervention,-7.719000598,2,1,2,2047.911685
Tamil Nadu,Madurai,Madurai,Paddy(Dhan)(Common),Ponni,FAQ,2401,2461,2431,507,624,Low supply affecting prices,1505,3881,6962,920,3.333277959,Fertilizer,261,Low,Stock Release,6.986085652,1,0,1,2431.451083
Tamil Nadu,Madurai,Madurai,Paddy(Dhan)(Common),Sona,FAQ,2632,2692,2662,418,482,Stable demand,2144,4907,5328,560,3.111947045,Seed,711,Medium,Stock Release,-5.111608776,3,1,1,2660.009
Tamil Nadu,Madurai,Thirumangalam,Cotton,MCU 5,FAQ,4900,5300,5150,695,467,Government intervention expected,4205,4595,7581,1078,6.865814987,Fertilizer,468,High,Price Cap,4.162316893,1,1,1,5154.862806
Tamil Nadu,Madurai,Thirumangalam,Cotton,Other,FAQ,4650,5000,4850,705,637,Stable demand,2841,2482,5367,1749,3.398895557,Seed,284,High,No Intervention,-9.818408162,2,1,1,4853.385405
Tamil Nadu,Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,3750,3875,3800,570,477,High demand due to festival,1719,4139,4569,1858,3.08525273,Seed,375,Medium,Price Cap,-8.127978228,1,1,1,3796.365757
Tamil Nadu,Madurai,Thirumangalam,Paddy(Dhan)(Common),ADT 43,FAQ,1650,2000,1850,730,672,Government intervention expected,2394,4400,5114,1078,3.737093867,Fertilizer,628,Medium,Price Cap,2.185774174,3,0,2,1853.062288
Tamil Nadu,Madurai,Thirumangalam,Paddy(Dhan)(Common),Ponni,FAQ,1800,2100,1950,594,394,Low supply affecting prices,1256,1201,7718,1139,4.531473956,Labor,535,Medium,Price Cap,-6.351680902,2,0,1,1946.201886
Tamil Nadu,Madurai,Usilampatty,Cotton,LRA,FAQ,5100,5200,5150,411,332,Low supply affecting prices,2720,2498,6909,610,5.323503409,Seed,359,Medium,Price Cap,-9.435726274,3,0,1,5147.477477
Tamil Nadu,Madurai,Usilampatty,Cotton,MCU 5,FAQ,4800,4900,4850,594,410,High demand due to festival,2821,2541,6216,990,3.327016424,Labor,344,High,Stock Release,-0.6610648663,1,1,1,4854.575498
Tamil Nadu,Madurai,Usilampatty,Cotton,Other,FAQ,4500,4600,4550,682,445,Stable demand,1953,4086,7405,1795,5.494911168,Fertilizer,917,Low,Price Cap,-3.389590014,1,1,2,4553.699047
Tamil Nadu,Madurai,Usilampatty,Paddy(Dhan)(Common),ADT 43,FAQ,1800,1900,1850,768,680,Stable demand,4946,4113,7705,533,4.240307305,Seed,437,High,Stock Release,6.045138562,1,0,1,1851.060034
Tamil Nadu,Madurai,Usilampatty,Paddy(Dhan)(Common),Co. 43,FAQ,1850,1950,1900,581,530,Low supply affecting prices,4251,3590,7059,711,4.371857475,Seed,149,Low,Price Cap,6.376579822,2,1,2,1901.991282
Tamil Nadu,Madurai,Usilampatty,Paddy(Dhan)(Common),Ponni,FAQ,2050,2150,2100,704,571,Stable demand,3980,4029,6283,1823,7.109511258,Fertilizer,371,High,Stock Release,2.288462424,1,1,1,2095.896095
Tamil Nadu,Namakkal,Namagiripettai,Turmeric,Finger,FAQ,6100,7550,7300,543,635,Government intervention expected,2071,4764,4398,1896,7.93461788,Labor,334,Medium,Price Cap,-4.139325073,2,1,1,7298.323739
Tamil Nadu,Namakkal,Namakkal,Groundnut,Other,FAQ,7400,7600,7500,785,337,Government intervention expected,2622,3821,6635,624,5.319320146,Fertilizer,683,High,No Intervention,-0.7674669748,1,1,1,7498.224246
Tamil Nadu,Namakkal,Rasipuram,Copra,other,FAQ,7500,7900,7700,715,434,Low supply affecting prices,1896,2312,4820,1626,4.608853476,Fertilizer,928,High,No Intervention,4.045120542,1,0,1,7695.326689
Tamil Nadu,Namakkal,Tiruchengode,Groundnut,Other,FAQ,6800,7500,7150,581,633,Government intervention expected,3066,2948,7060,1643,7.657240881,Fertilizer,655,Medium,Stock Release,-8.613828937,2,1,2,7152.041019
Tamil Nadu,Namakkal,Velur,Copra,other,FAQ,5510,7569,7216,429,534,Low supply affecting prices,2069,4604,6524,1393,5.502242232,Labor,405,Medium,Stock Release,-3.350058233,2,1,1,7214.075542
Tamil Nadu,Salem,Attur,Turmeric,Finger,FAQ,4900,8350,7700,483,618,Stable demand,1450,4963,7606,830,6.651767856,Seed,576,High,Price Cap,6.447394018,2,1,2,7701.330927
Tamil Nadu,Salem,Gangavalli,Maize,Other,FAQ,2000,2171,2100,565,667,Stable demand,1897,1693,4844,1832,5.068700155,Seed,587,High,No Intervention,-1.879429155,3,1,2,2095.272241
Tamil Nadu,Salem,Karumanturai,Coconut,Other,FAQ,2010,2300,2050,683,644,Stable demand,2079,2719,6632,911,4.012742888,Fertilizer,179,Low,Price Cap,2.493360226,1,1,1,2045.016435
Tamil Nadu,Salem,Kolathur,Groundnut,Other,FAQ,6600,7500,7300,680,459,High demand due to festival,1740,2267,7159,1922,6.274425563,Fertilizer,385,Low,Stock Release,-8.073312617,3,1,1,7296.700069
Tamil Nadu,Salem,Konganapuram,Copra,other,FAQ,7350,8230,7750,495,337,Low supply affecting prices,4728,4933,6662,1433,6.324213248,Labor,660,High,Price Cap,5.540919504,1,1,2,7752.028866
Tamil Nadu,Salem,Omalur,Coconut,Other,FAQ,1700,2100,1950,780,449,Government intervention expected,4163,4732,6653,1829,5.30091925,Fertilizer,197,Low,No Intervention,-7.990690201,1,0,1,1951.041715
Tamil Nadu,Salem,Salem,Turmeric,Finger,FAQ,6400,8100,7200,665,699,Stable demand,1081,2791,7008,1686,4.349748175,Labor,577,Medium,No Intervention,7.23050509,1,1,1,7197.009063
Tamil Nadu,Salem,Thalaivasal,Groundnut,Other,FAQ,6730,7090,6940,697,607,High demand due to festival,1736,3659,7899,1163,7.15906746,Labor,505,High,No Intervention,-7.867979102,1,1,2,6940.233739
Tamil Nadu,Salem,Thammampati,Coconut,Other,FAQ,1800,2200,2000,695,328,Government intervention expected,1078,4638,6825,1588,4.376590622,Labor,636,High,No Intervention,7.817855263,3,0,1,2001.192205
Tamil Nadu,Salem,Thammampati,Groundnut,Other,FAQ,7056,7166,7111,624,443,Government intervention expected,2685,2721,5276,1739,6.295119931,Fertilizer,825,Low,No Intervention,-2.724602515,1,1,2,7115.389449
Tamil Nadu,Salem,Vazhapadi,Coconut,Other,FAQ,2040,2450,2290,732,375,Government intervention expected,4944,4903,4357,1102,4.919928119,Seed,667,High,Stock Release,2.490614635,3,1,2,2292.624258
Tamil Nadu,Thanjavur,Vallam,Paddy(Dhan)(Common),B P T,FAQ,1800,1950,1850,760,444,Stable demand,3330,2621,7129,525,5.36240339,Labor,354,High,Price Cap,6.931011033,2,1,1,1846.358334
Tamil Nadu,Theni,Bodinayakkanur,Coconut,Medium,FAQ,2400,2800,2600,773,528,Government intervention expected,2334,2197,5422,1168,4.057013308,Seed,767,Medium,Price Cap,-9.79517158,3,0,2,2597.702301
Tamil Nadu,Theni,Bodinayakkanur,Cotton,Other,FAQ,7200,7800,7600,441,363,Low supply affecting prices,1996,2557,4520,1083,6.247399727,Labor,586,High,Price Cap,-4.686136772,1,0,1,7599.034862
Tamil Nadu,Theni,Bodinayakkanur,Paddy(Dhan)(Common),Other,FAQ,1700,1840,1770,702,646,High demand due to festival,3207,2532,6572,1567,4.129129168,Fertilizer,772,Low,Stock Release,8.166766426,3,1,2,1766.052906
Tamil Nadu,Theni,Chinnamanur,Banana,Poovan,Medium,2200,2800,2600,645,644,Government intervention expected,2339,3291,7990,1613,5.428570233,Labor,293,Medium,Stock Release,-2.236478788,3,1,2,2600.553567
Tamil Nadu,Theni,Chinnamanur,Banana,Red Banana,Medium,4400,4800,4600,607,568,Government intervention expected,4948,3107,7488,1656,4.642296966,Labor,615,Low,Stock Release,4.127518516,2,0,1,4604.070929
Tamil Nadu,Theni,Chinnamanur,Coconut,Medium,FAQ,2400,2800,2600,636,627,Low supply affecting prices,3002,1103,4392,1684,7.818028664,Seed,563,High,Stock Release,-7.199758877,2,1,1,2598.063777
Tamil Nadu,Theni,Chinnamanur,Paddy(Dhan)(Common),Other,FAQ,1700,1840,1770,421,483,Government intervention expected,2691,3698,5666,879,7.911105479,Fertilizer,879,Low,Price Cap,3.567432028,2,1,2,1774.846459
Tamil Nadu,Theni,Theni,Bajra(Pearl Millet/Cumbu),Small,FAQ,2470,2540,2505,584,560,Stable demand,2179,4374,7293,1784,6.767456537,Labor,603,Low,No Intervention,-8.536780089,1,1,2,2502.493175
Tamil Nadu,Theni,Theni,Cotton,MCU 5,FAQ,5300,5500,5400,641,567,Stable demand,3935,2694,7400,1906,7.919587474,Fertilizer,135,Medium,No Intervention,4.346502795,3,0,1,5399.722664
Tamil Nadu,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,3910,4150,4030,762,468,Stable demand,2737,2010,5395,868,3.567753214,Seed,115,High,Stock Release,-3.523900912,3,0,2,4028.43035
Tamil Nadu,Theni,Theni,Maize,Hybrid,FAQ,2020,2180,2100,682,558,Government intervention expected,3515,2767,7582,1634,7.96162327,Fertilizer,988,Medium,Price Cap,-0.6830468809,2,1,2,2098.081148
Tamil Nadu,Theni,Theni,Paddy(Dhan)(Common),Other,FAQ,1640,1760,1700,440,526,High demand due to festival,4992,3124,6200,1600,3.517779582,Fertilizer,748,High,Price Cap,-6.674796381,1,1,1,1698.778708
Tamil Nadu,Thiruvannamalai,Vettavalam,Maize,Yellow,FAQ,0,1710,1710,735,332,High demand due to festival,1852,2041,4892,708,5.077258868,Seed,689,Medium,Stock Release,2.556980355,1,0,1,1705.32412
Tamil Nadu,Thiruvannamalai,Vettavalam,Paddy(Dhan)(Common),ADT 37,FAQ,1861,1932,1897,561,676,Government intervention expected,1461,2557,7950,1536,4.194737851,Labor,922,High,Price Cap,-3.248647424,1,1,2,1897.320103
Tamil Nadu,Thiruvannamalai,Vettavalam,Paddy(Dhan)(Common),Other,FAQ,2128,2392,2260,559,513,High demand due to festival,3901,2207,4983,524,7.769229817,Labor,172,Medium,No Intervention,-2.332499879,2,1,1,2262.414096
Tamil Nadu,Villupuram,Chinnasalem,Maize,Other,FAQ,2082,2153,2143,488,349,High demand due to festival,1116,2680,6527,1045,6.178949674,Fertilizer,419,High,Stock Release,3.043858499,1,0,2,2146.637925
Tamil Nadu,Villupuram,Chinnasalem,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,11939,13136,12250,721,692,Government intervention expected,2689,4621,4582,1663,5.985637669,Labor,344,Medium,Price Cap,-6.422766776,1,0,2,12248.24355
Tamil Nadu,Villupuram,Kallakurichi,Black Gram (Urd Beans)(Whole),Other,FAQ,5199,7600,6400,411,509,Stable demand,3411,4352,5955,774,7.987192524,Seed,957,Low,Price Cap,7.040177871,1,1,2,6400.504042
Tamil Nadu,Villupuram,Kallakurichi,Gingelly Oil,Other,FAQ,12813,14624,13718,472,328,Government intervention expected,4914,4359,6904,1893,6.062130519,Fertilizer,839,Medium,Price Cap,4.785728112,2,1,1,13721.92796
Tamil Nadu,Villupuram,Kallakurichi,Groundnut,Other,FAQ,9049,10138,9593,475,338,Stable demand,2654,2678,4019,1373,6.230799405,Fertilizer,294,Low,Stock Release,1.554600063,2,1,1,9595.998722
Tamil Nadu,Villupuram,Kallakurichi,Maize,Other,FAQ,2056,2166,2111,745,646,Stable demand,2734,4596,6640,721,3.223871496,Labor,857,Medium,No Intervention,-7.433338658,3,1,1,2110.64075
Tamil Nadu,Villupuram,Manalurpet,Black Gram (Urd Beans)(Whole),Other,FAQ,6860,6860,6860,600,399,High demand due to festival,2936,3745,5973,1560,7.29525301,Labor,188,Low,Price Cap,3.742193888,3,0,2,6856.648463
